"","rule","n","N","runtime"
"390","rule_run_diffusion",5,500,28
"391","rule_run_diffusion",15,500,135
"392","rule_run_diffusion",10,500,91
"393","rule_run_diffusion",15,200,76
"394","rule_run_diffusion",5,500,20
"395","rule_run_diffusion",15,200,46
"396","rule_run_diffusion",10,200,25
"397","rule_run_diffusion",5,500,21
"398","rule_run_diffusion",15,200,80
"399","rule_run_diffusion",10,200,28
"400","rule_run_diffusion",5,200,14
"401","rule_run_diffusion",10,200,45
"402","rule_run_diffusion",15,500,216
"403","rule_run_diffusion",15,200,47
"404","rule_run_diffusion",15,500,194
"405","rule_run_diffusion",5,200,19
"406","rule_run_diffusion",15,200,79
"407","rule_run_diffusion",15,500,209
"408","rule_run_diffusion",15,500,213
"409","rule_run_diffusion",15,500,232
"410","rule_run_diffusion",5,200,13
"411","rule_run_diffusion",15,200,69
"412","rule_run_diffusion",5,500,28
"413","rule_run_diffusion",15,500,190
"414","rule_run_diffusion",15,500,187
"415","rule_run_diffusion",5,200,10
"416","rule_run_diffusion",5,200,13
"417","rule_run_diffusion",5,200,14
"418","rule_run_diffusion",10,200,47
"419","rule_run_diffusion",10,500,86
"420","rule_run_diffusion",5,200,17
"421","rule_run_diffusion",5,200,12
"422","rule_run_diffusion",15,200,104
"423","rule_run_diffusion",5,200,16
"424","rule_run_diffusion",15,200,51
"425","rule_run_diffusion",5,200,12
"426","rule_run_diffusion",15,200,45
"427","rule_run_diffusion",15,200,93
"428","rule_run_diffusion",15,500,141
"429","rule_run_diffusion",10,200,31
"430","rule_run_diffusion",10,200,25
"431","rule_run_diffusion",15,500,134
"432","rule_run_diffusion",5,200,14
"433","rule_run_diffusion",15,200,39
"434","rule_run_diffusion",15,500,214
"435","rule_run_diffusion",5,200,17
"436","rule_run_diffusion",15,200,103
"437","rule_run_diffusion",15,500,183
"438","rule_run_diffusion",15,200,48
"439","rule_run_diffusion",5,200,14
"440","rule_run_diffusion",5,500,23
"441","rule_run_diffusion",15,200,34
"442","rule_run_diffusion",5,200,13
"443","rule_run_diffusion",10,500,94
"444","rule_run_diffusion",15,500,121
"445","rule_run_diffusion",15,500,126
"446","rule_run_diffusion",5,200,25
"447","rule_run_diffusion",5,200,14
"448","rule_run_diffusion",15,500,110
"449","rule_run_diffusion",15,200,41
"450","rule_run_diffusion",5,200,10
"451","rule_run_diffusion",15,500,235
"452","rule_run_diffusion",15,500,132
"453","rule_run_diffusion",10,200,28
"454","rule_run_diffusion",5,500,25
"455","rule_run_diffusion",10,200,23
"456","rule_run_diffusion",15,200,97
"457","rule_run_diffusion",15,200,49
"458","rule_run_diffusion",5,500,21
"459","rule_run_diffusion",5,500,27
"460","rule_run_diffusion",10,200,28
"461","rule_run_diffusion",15,500,174
"462","rule_run_diffusion",15,500,143
"463","rule_run_diffusion",10,500,77
"464","rule_run_diffusion",5,500,26
"465","rule_run_diffusion",15,500,168
"466","rule_run_diffusion",15,200,36
"467","rule_run_diffusion",15,500,173
"468","rule_run_diffusion",5,500,31
"469","rule_run_diffusion",15,500,169
"470","rule_run_diffusion",10,200,36
"471","rule_run_diffusion",10,200,24
"472","rule_run_diffusion",5,200,19
"473","rule_run_diffusion",5,500,23
"474","rule_run_diffusion",15,200,35
"475","rule_run_diffusion",5,500,33
"476","rule_run_diffusion",5,200,12
"477","rule_run_diffusion",5,500,30
"478","rule_run_diffusion",10,200,42
"479","rule_run_diffusion",5,500,23
"480","rule_run_diffusion",5,200,12
"481","rule_run_diffusion",15,500,151
"482","rule_run_diffusion",5,200,11
"483","rule_run_diffusion",5,500,21
"484","rule_run_diffusion",15,200,79
"485","rule_run_diffusion",5,200,21
"486","rule_run_diffusion",5,500,27
"487","rule_run_diffusion",10,500,86
"488","rule_run_diffusion",15,200,46
"489","rule_run_diffusion",15,500,196
"490","rule_run_diffusion",15,500,136
"491","rule_run_diffusion",10,200,28
"492","rule_run_diffusion",15,200,42
"493","rule_run_diffusion",10,500,81
"494","rule_run_diffusion",15,200,97
"495","rule_run_diffusion",15,200,48
"496","rule_run_diffusion",10,200,41
"497","rule_run_diffusion",15,200,79
"498","rule_run_diffusion",5,500,22
"499","rule_run_diffusion",10,200,31
"500","rule_run_diffusion",10,200,39
"501","rule_run_diffusion",15,500,127
"502","rule_run_diffusion",10,500,73
"503","rule_run_diffusion",10,200,21
"504","rule_run_diffusion",15,200,84
"505","rule_run_diffusion",5,500,21
"506","rule_run_diffusion",5,200,13
"507","rule_run_diffusion",10,200,31
"508","rule_run_diffusion",5,200,10
"509","rule_run_diffusion",5,200,17
"510","rule_run_diffusion",5,200,14
"511","rule_run_diffusion",15,500,215
"512","rule_run_diffusion",5,500,28
"513","rule_run_diffusion",5,500,24
"514","rule_run_diffusion",5,200,15
"515","rule_run_diffusion",15,200,79
"516","rule_run_diffusion",15,200,55
"517","rule_run_diffusion",15,200,51
"518","rule_run_diffusion",5,200,13
"519","rule_run_diffusion",5,200,14
"520","rule_run_fitclone",10,500,13973
"521","rule_run_fitclone",15,500,14214
"522","rule_run_fitclone",15,500,11653
"523","rule_run_fitclone",10,500,14352
"524","rule_run_fitclone",10,500,15514
"525","rule_run_fitclone",10,200,5419
"526","rule_run_fitclone",5,200,5265
"527","rule_run_fitclone",15,500,7527
"528","rule_run_fitclone",10,200,5556
"529","rule_run_fitclone",10,200,2878
"530","rule_run_fitclone",15,500,13702
"531","rule_run_fitclone",10,200,3064
"532","rule_run_fitclone",10,500,10642
"533","rule_run_fitclone",10,200,5751
"534","rule_run_fitclone",5,200,3113
"535","rule_run_fitclone",5,500,6959
"536","rule_run_fitclone",15,500,13860
"537","rule_run_fitclone",10,200,5580
"538","rule_run_fitclone",15,500,11439
"539","rule_run_fitclone",15,200,6247
"540","rule_run_fitclone",15,200,3107
"541","rule_run_fitclone",5,500,14683
"542","rule_run_fitclone",15,200,4509
"543","rule_run_fitclone",5,500,13494
"544","rule_run_fitclone",15,200,7754
"545","rule_run_fitclone",15,500,11663
"546","rule_run_fitclone",10,500,14097
"547","rule_run_fitclone",5,200,5352
"548","rule_run_fitclone",10,200,5724
"549","rule_run_fitclone",15,500,15606
"550","rule_run_fitclone",10,200,5347
"551","rule_run_fitclone",15,200,3046
"552","rule_run_fitclone",10,500,11286
"553","rule_run_fitclone",10,500,14210
"554","rule_run_fitclone",10,200,4163
"555","rule_run_fitclone",15,500,15268
"556","rule_run_fitclone",5,200,5428
"557","rule_run_fitclone",15,500,15170
"558","rule_run_fitclone",10,500,13505
"559","rule_run_fitclone",5,200,5577
"560","rule_run_fitclone",10,500,10745
"561","rule_run_fitclone",5,200,5356
"562","rule_run_fitclone",5,200,5750
"563","rule_run_fitclone",5,500,6773
"564","rule_run_fitclone",15,200,5472
"565","rule_run_fitclone",15,500,14032
"566","rule_run_fitclone",5,200,4985
"567","rule_run_fitclone",5,200,2345
"568","rule_run_fitclone",10,200,2756
"569","rule_run_fitclone",15,200,5455
"570","rule_run_fitclone",10,500,13371
"571","rule_run_fitclone",10,500,6466
"572","rule_run_fitclone",5,500,7280
"573","rule_run_fitclone",15,500,15452
"574","rule_run_fitclone",15,200,5330
"575","rule_run_fitclone",5,200,5860
"576","rule_run_fitclone",15,200,5519
"577","rule_run_fitclone",10,500,7028
"578","rule_run_fitclone",10,200,6051
"579","rule_run_fitclone",10,200,3202
"580","rule_run_fitclone",15,200,5629
"581","rule_run_fitclone",15,500,19721
"582","rule_run_fitclone",5,500,14111
"583","rule_run_fitclone",10,200,4128
"584","rule_run_fitclone",5,500,14547
"585","rule_run_fitclone",5,500,6903
"586","rule_run_fitclone",10,200,5436
"587","rule_run_fitclone",10,500,7210
"588","rule_run_fitclone",15,500,11862
"589","rule_run_fitclone",15,200,2972
"590","rule_run_fitclone",15,500,14642
"591","rule_run_fitclone",5,200,2824
"592","rule_run_fitclone",10,500,15001
"593","rule_run_fitclone",15,500,14764
"594","rule_run_fitclone",15,200,2683
"595","rule_run_fitclone",10,200,7723
"596","rule_run_fitclone",10,200,2619
"597","rule_run_fitclone",5,200,5202
"598","rule_run_fitclone",10,200,5539
"599","rule_run_fitclone",10,500,14199
"600","rule_run_fitclone",15,200,3253
"601","rule_run_fitclone",5,500,7029
"602","rule_run_fitclone",10,500,14775
"603","rule_run_fitclone",10,200,3071
"604","rule_run_fitclone",10,500,15080
"605","rule_run_fitclone",10,500,14135
"606","rule_run_fitclone",10,200,5537
"607","rule_run_fitclone",10,500,13468
"608","rule_run_fitclone",5,500,6898
"609","rule_run_fitclone",15,500,7288
"610","rule_run_fitclone",15,200,4341
"611","rule_run_fitclone",10,200,2884
"612","rule_run_fitclone",5,500,13772
"613","rule_run_fitclone",10,200,5679
"614","rule_run_fitclone",15,500,13215
"615","rule_run_fitclone",15,200,6078
"616","rule_run_fitclone",15,500,14598
"617","rule_run_fitclone",5,500,6789
"618","rule_run_fitclone",15,200,6089
"619","rule_run_fitclone",5,500,13683
"620","rule_run_fitclone",15,200,4345
"621","rule_run_fitclone",5,500,14121
"622","rule_run_fitclone",5,500,13763
"623","rule_run_fitclone",10,200,5538
"624","rule_run_fitclone",5,200,5270
"625","rule_run_fitclone",5,500,7258
"626","rule_run_fitclone",10,200,5462
"627","rule_run_fitclone",10,200,6053
"628","rule_run_fitclone",5,500,6601
"629","rule_run_fitclone",15,200,4560
"630","rule_run_fitclone",5,200,2737
"631","rule_run_fitclone",5,500,6844
"632","rule_run_fitclone",15,500,13922
"633","rule_run_fitclone",5,200,5515
"634","rule_run_fitclone",10,500,11671
"635","rule_run_fitclone",10,200,2738
"636","rule_run_fitclone",10,500,7159
"637","rule_run_fitclone",5,200,2640
"638","rule_run_fitclone",5,200,7169
"639","rule_run_fitclone",15,500,14626
"640","rule_run_fitclone",5,200,5671
"641","rule_run_fitclone",15,500,7168
"642","rule_run_fitclone",10,200,2918
"643","rule_run_fitclone",5,500,14376
"644","rule_run_fitclone",5,500,13333
"645","rule_run_fitclone",5,200,5638
"646","rule_run_fitclone",10,500,14557
"647","rule_run_fitclone",10,200,4279
"648","rule_run_fitclone",15,200,3034
"649","rule_run_fitclone",5,500,7045
"650","rule_run_fitclone",5,500,14055
"651","rule_run_fitclone",15,500,15277
"652","rule_run_fitclone",5,500,14274
"653","rule_run_fitclone",5,200,4319
"654","rule_run_fitclone",15,200,5918
"655","rule_run_fitclone",5,500,13601
"656","rule_run_fitclone",5,200,5288
"657","rule_run_fitclone",15,500,11518
"658","rule_run_fitclone",10,500,14109
"659","rule_run_fitclone",15,200,4326
"660","rule_run_fitclone",10,200,6018
"661","rule_run_fitclone",15,500,13457
"662","rule_run_fitclone",10,500,14060
"663","rule_run_fitclone",5,500,13977
"664","rule_run_fitclone",5,500,14197
"665","rule_run_fitclone",5,200,5589
"666","rule_run_fitclone",15,500,14438
"667","rule_run_fitclone",10,200,2990
"668","rule_run_fitclone",10,200,2869
"669","rule_run_fitclone",5,500,14329
"670","rule_run_fitclone",15,500,13960
"671","rule_run_fitclone",10,500,15043
"672","rule_run_fitclone",5,200,4253
"673","rule_run_fitclone",10,500,11608
"674","rule_run_fitclone",15,200,5511
"675","rule_run_fitclone",5,200,2670
"676","rule_run_fitclone",15,500,7360
"677","rule_run_fitclone",5,200,5457
"678","rule_run_fitclone",10,500,7030
"679","rule_run_fitclone",15,200,8169
"680","rule_run_fitclone",15,200,5819
"681","rule_run_fitclone",5,200,5431
"682","rule_run_fitclone",5,200,5323
"683","rule_run_fitclone",15,500,14328
"684","rule_run_fitclone",10,500,7280
"685","rule_run_fitclone",10,200,6095
"686","rule_run_fitclone",5,500,14074
"687","rule_run_fitclone",15,200,3177
"688","rule_run_fitclone",15,200,6613
"689","rule_run_fitclone",15,500,14600
"690","rule_run_fitclone",5,500,13330
"691","rule_run_fitclone",15,200,2943
"692","rule_run_fitclone",10,500,6697
"693","rule_run_fitclone",5,200,5647
"694","rule_run_fitclone",10,500,14050
"695","rule_run_fitclone",15,500,13883
"696","rule_run_fitclone",10,500,15231
"697","rule_run_fitclone",10,200,6057
"698","rule_run_fitclone",5,500,13536
"699","rule_run_fitclone",10,200,4142
"700","rule_run_fitclone",5,200,2841
"701","rule_run_fitclone",10,200,2871
"702","rule_run_fitclone",10,200,2916
"703","rule_run_fitclone",15,500,14918
"704","rule_run_fitclone",10,200,5763
"705","rule_run_fitclone",5,500,13464
"706","rule_run_fitclone",5,500,14353
"707","rule_run_fitclone",10,200,5957
"708","rule_run_fitclone",5,500,7168
"709","rule_run_fitclone",15,200,5980
"710","rule_run_fitclone",10,200,3040
"711","rule_run_fitclone",5,500,14140
"712","rule_run_fitclone",10,200,4456
"713","rule_run_fitclone",10,500,7227
"714","rule_run_fitclone",10,500,14551
"715","rule_run_fitclone",5,500,13787
"716","rule_run_fitclone",10,500,7030
"717","rule_run_fitclone",5,200,8083
"718","rule_run_fitclone",15,500,14062
"719","rule_run_fitclone",5,200,5479
"720","rule_run_fitclone",5,500,13199
"721","rule_run_fitclone",10,200,5722
"722","rule_run_fitclone",10,500,14457
"723","rule_run_fitclone",15,200,5958
"724","rule_run_fitclone",15,200,5677
